iter	RMSE
0	0.3854292102
1	0.3752771896
2	0.3665905405
3	0.3570000307
4	0.347314591
5	0.3382546922
6	0.3299013831
7	0.3219068167
8	0.3141982617
9	0.3075066318
10	0.2998966841
11	0.2931183516
12	0.2872486545
13	0.2811199243
14	0.2748201687
15	0.2691891264
16	0.2637949414
17	0.2583621298
18	0.2530989299
19	0.2478671687
20	0.2430358082
21	0.2389859249
22	0.2343180901
23	0.2301777024
24	0.2258349047
25	0.2218324101
26	0.217967533
27	0.2144718856
28	0.2104378721
29	0.207006475
30	0.2035278868
31	0.2005687767
32	0.1976865639
33	0.1947276513
34	0.1913949038
35	0.1885376769
36	0.1858586097
37	0.1837654194
38	0.181620698
39	0.1792617983
40	0.1769980252
41	0.1748714616
42	0.1727076142
43	0.1706479412
44	0.1684606506
45	0.1665054287
46	0.1646579916
47	0.1628928344
48	0.1612657106
49	0.1593637152
50	0.1576066707
51	0.1560844567
52	0.1544536986
53	0.1530163167
54	0.1516451955
55	0.1504277922
56	0.1490187898
57	0.1477588418
58	0.1465388485
59	0.1452335692
60	0.1439992547
61	0.1427370372
62	0.1416658557
63	0.1405263262
64	0.1395778836
65	0.1385365059
66	0.1375692616
67	0.1365681015
68	0.1355451413
69	0.1348532474
70	0.1339013019
71	0.1333409248
72	0.1325356707
73	0.1318211298
74	0.1311441669
75	0.1307136942
76	0.1299565244
77	0.1292990417
78	0.1285768278
79	0.1278123682
80	0.1271427666
81	0.1264543442
82	0.1257398469
83	0.1250455189
84	0.1243372809
85	0.1235419931
86	0.122967691
87	0.1224711072
88	0.1218638479
89	0.1212451054
90	0.1208131654
91	0.1201351282
92	0.1195288185
93	0.1190168677
94	0.118599535
95	0.1181344871
96	0.1175412319
97	0.1169413919
98	0.1164357774
99	0.1160949933
100	0.1156111599
101	0.1151974586
102	0.1147858193
103	0.1142973448
104	0.1137771741
105	0.1132940952
106	0.1128932576
107	0.1125369884
108	0.1120961851
109	0.1117416144
110	0.1113131634
111	0.1110119909
112	0.1105971659
113	0.1102696414
114	0.1098575196
115	0.109503671
116	0.1091560045
117	0.1088715465
118	0.1086678816
119	0.1082499845
120	0.1078949436
121	0.1076720391
122	0.1073698913
123	0.1069760472
124	0.1066542789
125	0.1063435084
126	0.1060563116
127	0.1057276745
128	0.1053679125
129	0.1051384519
130	0.1047977859
131	0.1045356669
132	0.1042842341
133	0.1039923401
134	0.1036972686
135	0.1033449855
136	0.1031681072
137	0.1029285017
138	0.1027073474
139	0.1025295473
140	0.1022895229
141	0.1020466002
142	0.1016863478
143	0.1014688062
144	0.1012116327
145	0.1009572271
146	0.1006516349
147	0.1003527285
148	0.1001185064
149	0.09986611811
150	0.09967684817
151	0.09950254591
152	0.09927667521
153	0.09912655175
154	0.09890859875
155	0.0988459866
156	0.09856784181
157	0.09827103982
158	0.09798345991
159	0.09781918753
160	0.09758096011
161	0.09736658397
162	0.09711253328
163	0.0968773541
164	0.09663185612
165	0.09640268003
166	0.09618776238
167	0.09614581203
168	0.09608140912
169	0.09593939828
170	0.09571632539
171	0.09567827722
172	0.09550381905
173	0.09524121027
174	0.09509023995
175	0.09480280985
